Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"TRIODOS BANK";NL0010407946;TRIO;"Euronext Amsterdam";EUR;31.505;31.98;31.50;31.60;"03/07/2025 17:35";CET;6467;205572.38;31.60;03/07/2025
UMG;NL0015000IY2;UMG;"Euronext Amsterdam";EUR;26.94;27.00;26.78;26.90;"03/07/2025 17:35";CET;1725600;46407669.25;26.90;03/07/2025
UNILEVER;GB00B10RZP78;UNA;"Euronext Amsterdam";EUR;52.08;52.32;51.92;52.18;"03/07/2025 17:35";CET;655036;34130202.98;52.18;03/07/2025
"V LANSCHOT KEMPEN";NL0000302636;VLK;"Euronext Amsterdam";EUR;54.30;54.90;54.20;54.90;"03/07/2025 17:35";CET;75691;4137258.50;54.90;03/07/2025
VALUE8;NL0010661864;VALUE;"Euronext Amsterdam";EUR;6.50;6.65;6.50;6.65;"03/07/2025 17:07";CET;2684;17547.35;6.65;03/07/2025
"VALUE8 CUM PREF";NL0015118803;PREVA;"Euronext Amsterdam";EUR;4.85;4.89;4.85;4.89;"03/07/2025 16:30";CET;1149;5576.65;4.89;03/07/2025
VASTNED;BE0003754687;VASTB;"Euronext Brussels, Amsterdam";EUR;32.10;32.30;31.80;31.80;"03/07/2025 17:35";CET;6080;193974.00;31.80;03/07/2025
VIVORYON;NL00150002Q7;VVY;"Euronext Amsterdam";EUR;1.424;1.458;1.40;1.452;"03/07/2025 17:35";CET;78915;112039.84;1.452;03/07/2025
"VOLTA FINANCE";GG00B1GHHH78;VTA;"Euronext Amsterdam";EUR;6.82;6.82;6.76;6.80;"03/07/2025 17:29";CET;8589;58303.78;6.80;03/07/2025
VOPAK;NL0009432491;VPK;"Euronext Amsterdam";EUR;41.34;41.78;41.34;41.68;"03/07/2025 17:35";CET;98218;4091417.60;41.68;03/07/2025
WDP;BE0974349814;WDP;"Euronext Brussels, Amsterdam";EUR;20.70;20.86;20.58;20.70;"03/07/2025 17:35";CET;202695;4196902.84;20.70;03/07/2025
WERELDHAVE;NL0000289213;WHA;"Euronext Amsterdam";EUR;17.30;17.56;17.28;17.28;"03/07/2025 17:37";CET;135989;2358751.94;17.28;03/07/2025
"WOLTERS KLUWER";NL0000395903;WKL;"Euronext Amsterdam";EUR;137.65;138.80;137.225;138.70;"03/07/2025 17:37";CET;597961;82663892.24;138.70;03/07/2025
"YOUNITED FIN. WARR";LU2999660207;YOUNW;"Euronext Amsterdam, Paris";EUR;-;-;-;-;-;CET;-;-;-;-
"YOUNITED FINANCIAL";LU2999653251;YOUNI;"Euronext Amsterdam, Paris";EUR;10.50;10.50;10.40;10.40;"03/07/2025 11:13";CET;8;83.70;10.40;03/07/2025
